dg_id,player_name,country,event_name,current_round,dk_id,dk_salary,fd_id,fd_salary,yh_id,yh_salary,early_late,last_updated,primary_tour,datagolf_rank,owgr_rank,dg_skill_estimate,make_cut_baseline,top_10_baseline,top_20_baseline,top_5_baseline,win_baseline,baseline_pred,timing_adjustment,age_adjustment,strokes_gained_category_adjustment,course_experience_adjustment,course_history_adjustment,total_course_history_adjustment,total_fit_adjustment,driving_accuracy_adjustment,driving_distance_adjustment,other_fit_adjustment,final_pred,bet365
14704,"Putnam, Andrew",USA,Fortinet Championship,1,19186974,6900,64033-78698,8100,golf.p.11153,22.0,1,2021-09-15 16:44:17 UTC,PGA,119.0,147.0,0.11997763650209499,0.512175,0.0668,0.139775,0.0303,0.00425,0.11093568358281501,-0.00272915426170993,0.000268503111923168,-0.0985640587431768,0.005,0.0258641282566878,0.0308641282566878,-0.0420107441706281,0.0031618402002743,-0.0245519526954686,-0.0206206316754338,-0.0012356422240889,201.0
19195,"Rahm, Jon",ESP,Fortinet Championship,1,19186909,12100,64033-78707,12500,golf.p.18796,50.0,1,2021-09-15 16:44:17 UTC,PGA,1.0,1.0,2.69180435412469,0.90205,0.621175,0.751375,0.485325,0.218675,2.6749390404930096,-0.0083958677080247,0.020316596483509,-0.0308301755192293,-0.027999999999999997,0.00776468277387352,-0.0202353172261265,-0.06442432918197,0.0171817107382147,0.0286568653510303,-0.11026290527121499,2.57136994734117,4.75
18554,"Rai, Aaron",ENG,Fortinet Championship,1,19186948,7400,64033-78709,8800,golf.p.20884,34.0,1,2021-09-15 16:44:17 UTC,EURO,98.0,94.0,0.239110428935697,0.5673,0.099025,0.194125,0.04805,0.00855,0.229322530717679,-0.00699681402025967,0.0214788047949053,0.0938025657990132,-0.04,0.0,-0.04,0.021097413998245208,0.0343370479648822,-0.0040553959843316395,-0.00918423798230535,0.318704501289583,81.0
19840,"Ramey, Chad",USA,Fortinet Championship,1,19186969,7000,64033-79597,9900,golf.p.19920,28.0,0,2021-09-15 16:44:17 UTC,KFT,64.0,174.0,0.5144483695350639,0.6205,0.116175,0.22725,0.059025,0.01055,0.50379988747227,-0.0358453492396898,0.0124716903815841,0.0104318481523769,-0.04,0.0,-0.04,0.006221080429100963,0.000981136370388995,-0.00023185856731704302,0.00547180262602901,0.457079157195642,101.0
7961,"Reavie, Chez",USA,Fortinet Championship,1,19186924,8500,64033-78719,9800,golf.p.5000,27.0,1,2021-09-15 16:44:17 UTC,PGA,99.0,169.0,0.23556125006351697,0.5403,0.0835,0.165875,0.0405,0.0066,0.22552090541693104,0.0074223654243612295,-0.0250095276609459,-0.0204641562423649,0.128,0.0799932956597732,0.207993295659773,0.03409330470427685,0.0640340624798433,-0.0233238657872328,-0.00661689198833366,0.429556187302031,56.0
24481,"Redman, Doc",USA,Fortinet Championship,1,19186954,7200,64033-82446,9100,golf.p.22377,30.0,0,2021-09-15 16:44:17 UTC,PGA,158.0,178.0,-0.0776641515360956,0.4741,0.051725,0.11495,0.02275,0.00365,-0.0893931978371246,-0.01284081394115,0.0313575754417737,-0.136848503650896,-0.004,0.0270865902009554,0.0230865902009554,0.02447509762424238,0.0252474161369157,-0.00366012270913236,0.00288780419645904,-0.160163252162199,161.0
19643,"Reeves, Seth",USA,Fortinet Championship,1,19187017,6300,64033-80336,7600,golf.p.21358,20.0,1,2021-09-15 16:44:17 UTC,KFT,230.0,285.0,-0.40921919633703796,0.433375,0.03815,0.0929,0.015325,0.0021,-0.416114147349245,0.01249613773925,0.00753230505814995,0.0382413236079358,-0.016,-0.0077776961697311,-0.0237776961697311,0.04399491491984041,-0.0291285151863586,0.0315822998179602,0.0415411302882388,-0.3376271621938,301.0
19872,"Riley, Davis",USA,Fortinet Championship,1,19187015,6400,64033-79599,7000,golf.p.19934,20.0,0,2021-09-15 16:44:17 UTC,KFT,244.0,342.0,-0.45290887405690705,0.4405,0.037725,0.090675,0.015825,0.002175,-0.463237078726195,0.0114073247017824,0.0278709505075848,0.0354890822053579,-0.04,0.0,-0.04,0.0333153042985653,-0.0132146085420591,0.0185373459111376,0.0279925669294868,-0.395154417012904,251.0
16283,"Rodgers, Patrick",USA,Fortinet Championship,1,19186964,7000,64033-78739,8300,golf.p.12885,23.0,1,2021-09-15 16:44:17 UTC,PGA,105.0,213.0,0.19751731077535398,0.551275,0.0867,0.176275,0.040999999999999995,0.00675,0.18766871975299101,-0.0243001175787156,0.0121811383037351,0.0703367272669493,0.10400000000000001,0.0197811366215867,0.12378113662158699,0.0073702305390014175,-0.0198361074102525,0.022402731257271,0.00480360669198292,0.377037834905549,126.0
16715,"Ryder, Sam",USA,Fortinet Championship,1,19186980,6800,64033-78751,8000,golf.p.13099,22.0,0,2021-09-15 16:44:17 UTC,PGA,153.0,200.0,-0.0522223489602087,0.477325,0.0523,0.11565,0.022825,0.003175,-0.0639998200069974,-0.0182249924278314,0.00317402389041388,-0.13036747855664899,0.02,0.00223525474285448,0.0222352547428545,0.0017479758963208705,-0.0030320069735880802,-0.00209454538425875,0.0068745282541677,-0.18543503646188897,251.0
