dg_id,player_name,country,event_name,current_round,dk_id,dk_salary,fd_id,fd_salary,yh_id,yh_salary,early_late,last_updated,primary_tour,datagolf_rank,owgr_rank,dg_skill_estimate,make_cut_baseline,top_10_baseline,top_20_baseline,top_5_baseline,win_baseline,baseline_pred,timing_adjustment,age_adjustment,strokes_gained_category_adjustment,course_experience_adjustment,course_history_adjustment,total_course_history_adjustment,total_fit_adjustment,driving_accuracy_adjustment,driving_distance_adjustment,other_fit_adjustment,final_pred
18238,"Ancer, Abraham",MEX,BMW Championship,1,18884352,8700.0,63120-77806,10000.0,golf.p.16893,39.0,1,2021-08-25 15:12:02 UTC,PGA,18,13,1.44370243420082,1,0.190775,0.374275,0.092975,0.0185,1.43077555784722,-0.00568564001481309,0.00784866129081352,-0.0277953428949149,-0.04,0,-0.04,0,0,0,0,1.3651432362283
17606,"Berger, Daniel",USA,BMW Championship,1,18884349,9000.0,63120-77848,10200.0,golf.p.13967,39.0,1,2021-08-25 15:12:02 UTC,PGA,4,19,1.72385203602635,1,0.265925,0.472475,0.143125,0.030175,1.7102827741487399,0.0071090981833261705,0.0151124632370399,0.008036610385857,-0.04,0,-0.04,0,0,0,0,1.70054094595496
13872,"Bradley, Keegan",USA,BMW Championship,1,18884364,7700.0,63120-77881,8700.0,golf.p.10143,20.0,1,2021-08-25 15:12:02 UTC,PGA,38,77,0.9668006236012371,1,0.142375,0.298125,0.0669,0.010275,0.9541657997000791,0.0216932399020908,-0.008712807146583729,0.13240186065554,-0.04,0,-0.04,0,0,0,0,1.05954809311113
19483,"Burns, Sam",USA,BMW Championship,1,18884356,8300.0,63120-77904,9300.0,golf.p.19107,33.0,1,2021-08-25 15:12:02 UTC,PGA,30,25,1.13137599111267,1,0.1467,0.298525,0.068825,0.01225,1.11898955650872,0.0378490176935899,0.0264439942731538,-0.1262417409628,-0.04,0,-0.04,0,0,0,0,1.01704082751267
15466,"Cantlay, Patrick",USA,BMW Championship,1,18884347,9200.0,63120-79435,10700.0,golf.p.11704,40.0,0,2021-08-25 15:12:02 UTC,PGA,3,10,1.7602657487423,1,0.2882,0.489075,0.162575,0.03885,1.74650057175994,-0.0056941366472234,0.011335286225001998,0.0677776468165464,-0.04,0,-0.04,0,0,0,0,1.77991936815427
7108,"Casey, Paul",ENG,BMW Championship,1,18884357,8200.0,63120-77922,10100.0,golf.p.3946,33.0,0,2021-08-25 15:12:02 UTC,PGA,9,22,1.6709391288406399,1,0.2487,0.445925,0.130875,0.02735,1.65807357991917,0.018055684548252,-0.0398018794764341,0.0155915750786307,-0.04,0,-0.04,0,0,0,0,1.61191896006962
23542,"Champ, Cameron",USA,BMW Championship,1,18884372,7300.0,63120-80553,8400.0,golf.p.21805,20.0,1,2021-08-25 15:12:02 UTC,PGA,118,65,0.156121538474355,1,0.05865,0.15125,0.02265,0.00335,0.147755933616666,-0.0147079623459147,0.0226668172611158,0.162978224682289,-0.04,0,-0.04,0,0,0,0,0.278693013214156
5665,"Cink, Stewart",USA,BMW Championship,1,18884385,6600.0,63120-77951,7800.0,golf.p.186,20.0,1,2021-08-25 15:12:02 UTC,PGA,52,45,0.708616458497963,1,0.082675,0.2014,0.035025,0.005425,0.697114781388887,0.0310628364445898,-0.0543294833688877,-0.0574169697565081,-0.04,0,-0.04,0,0,0,0,0.5764311647080811
17576,"Conners, Corey",CAN,BMW Championship,1,18884353,8600.0,63120-77966,9600.0,golf.p.14036,27.0,1,2021-08-25 15:12:02 UTC,PGA,22,34,1.32602378772787,1,0.21205,0.402075,0.1088,0.020775,1.31284978717726,0.0155812857898308,0.010754182069304001,0.152590114027477,-0.04,0,-0.04,0,0,0,0,1.45177536906387
17786,"Davis, Cameron",AUS,BMW Championship,1,18884380,6900.0,63120-77994,7700.0,golf.p.21332,20.0,0,2021-08-25 15:12:02 UTC,PGA,77,66,0.464360470821804,1,0.069725,0.1769,0.0289,0.004025,0.454350333915794,0.0227672589391024,0.0215046089497195,0.0027691454269942,-0.04,0,-0.04,0,0,0,0,0.461391347231611
