dg_id,player_name,country,event_name,current_round,dk_id,dk_salary,fd_id,fd_salary,yh_id,yh_salary,early_late,last_updated,primary_tour,datagolf_rank,owgr_rank,dg_skill_estimate,make_cut_baseline,top_10_baseline,top_20_baseline,top_5_baseline,win_baseline,baseline_pred,timing_adjustment,age_adjustment,strokes_gained_category_adjustment,course_experience_adjustment,course_history_adjustment,total_course_history_adjustment,total_fit_adjustment,driving_accuracy_adjustment,driving_distance_adjustment,other_fit_adjustment,final_pred,bet365
18238,"Ancer, Abraham",MEX,TOUR Championship,1,18958474,9600.0,63373-77806,10400.0,golf.p.16893,31,0,2021-08-30 21:11:16 UTC,PGA,16,12,1.52672783908037,1,0.372225,0.754425,0.1606,0.019125,1.5133058228833702,-0.0154626981858872,0.00755810921296418,-0.0574502990626797,-0.016,-0.0142833520931736,-0.0302833520931736,0.17076153649615,0.214107919819015,0.00515014104363781,-0.0484965243665028,1.58842911925075,29.0
17606,"Berger, Daniel",USA,TOUR Championship,1,18958489,5800.0,63373-77848,7600.0,golf.p.13967,23,1,2021-08-30 21:11:16 UTC,PGA,5,18,1.6712814327580903,1,0.201575,0.576875,0.06425,0.00485,1.65673360836369,0.00701720607420375,0.0151124632370401,0.0303167266866397,0.008,0.014694566008036002,0.022694566008036002,0.0599553536094098,0.114129271083226,-0.0038315440965714,-0.0503423733772448,1.79182992397902,126.0
19483,"Burns, Sam",USA,TOUR Championship,1,18958478,8500.0,63373-77904,9900.0,golf.p.19107,21,0,2021-08-30 21:11:16 UTC,PGA,23,25,1.2677919106204598,1,0.32585,0.701525,0.13725,0.016575,1.25426430865421,0.033242139181203,0.0264439942731536,-0.0916296097641462,-0.04,0.0,-0.04,-0.0865505541332918,-0.0203131457958253,-0.0160004443720187,-0.0502369639654478,1.09577027821113,36.0
15466,"Cantlay, Patrick",USA,TOUR Championship,1,18958466,13400.0,63373-79435,12800.0,golf.p.11704,39,0,2021-08-30 21:11:16 UTC,PGA,2,4,2.0213228177607,1,0.844775,0.97325,0.662175,0.2571,2.00582244051341,0.0116792958613576,0.0113352862250022,-0.0335471786061909,-0.004,-0.0687233838620794,-0.0727233838620794,-0.09778739216497204,-0.007843855585569841,-0.0135692107152117,-0.0763743258641905,1.82477906796653,5.0
5665,"Cink, Stewart",USA,TOUR Championship,1,18958492,5200.0,63373-77951,7000.0,golf.p.186,20,1,2021-08-30 21:11:16 UTC,PGA,48,46,0.6903137287649479,1,0.0825,0.354325,0.021575,0.00125,0.679100311333071,0.0252941549413552,-0.0543294833688877,-0.037323087281758,0.02,-0.082968128882888,-0.062968128882888,-0.0956757999661682,-0.0694287977008675,-0.00839953738906129,-0.0178474648762394,0.45409796677472397,301.0
17576,"Conners, Corey",CAN,TOUR Championship,1,18958487,6200.0,63373-77966,7700.0,golf.p.14036,21,1,2021-08-30 21:11:16 UTC,PGA,21,33,1.3374176203903998,1,0.209275,0.586925,0.07175,0.006025,1.32402426467727,0.011717314591408002,0.0107541820693042,0.138450737695552,-0.027999999999999997,-0.004212961028577629,-0.0322129610285776,0.20848037999857733,0.228485620989671,-0.00169378212628099,-0.0183114588648127,1.66121391800353,126.0
19841,"DeChambeau, Bryson",USA,TOUR Championship,1,18958468,12300.0,63373-78005,12600.0,golf.p.19918,44,0,2021-08-30 21:11:16 UTC,PGA,3,7,1.85611319831032,1,0.719275,0.936125,0.486375,0.126025,1.8413823018208302,-0.0131866391639512,0.0165652236262854,0.195555957862818,-0.004,-0.0170812789255663,-0.0210812789255663,-0.2023443541683328,-0.118213471923416,-0.0395284058773833,-0.0446024763675335,1.81689121105208,5.5
14577,"English, Harris",USA,TOUR Championship,1,18958477,8700.0,63373-78050,10100.0,golf.p.11060,33,0,2021-08-30 21:11:16 UTC,PGA,18,11,1.47521772008668,1,0.3684,0.743225,0.16265,0.02015,1.4616044847146201,-0.0124824417967131,0.00203761973383187,-0.0347248851822216,-0.016,-0.000826953602807107,-0.0168269536028071,-0.015555003506573906,0.0578179549346743,-0.00576608068061071,-0.0676068777606375,1.3840528203601297,34.0
11676,"Finau, Tony",USA,TOUR Championship,1,18958469,11800.0,63373-78078,12300.0,golf.p.8805,39,0,2021-08-30 21:11:16 UTC,PGA,17,9,1.51458614401944,1,0.66955,0.915775,0.419075,0.091825,1.50102776124897,0.00219805467218426,0.00261872388953011,0.0604663894503913,0.008,0.0312906057959653,0.0392906057959653,-0.14107183199344753,-0.0703126098977944,-0.0166710630218561,-0.05408815907379701,1.4645297030635902,8.0
5689,"Garcia, Sergio",ESP,TOUR Championship,1,18958491,5400.0,63373-78116,7000.0,golf.p.1040,20,1,2021-08-30 21:11:16 UTC,PGA,32,48,1.1059515730549698,1,0.126325,0.4563,0.0351,0.001925,1.0933563240306101,0.0113625337289114,-0.031085317140962,0.166012371861932,0.055999999999999994,0.042971467866113,0.098971467866113,0.007228780706828395,0.032164302882879,-0.0145312512269325,-0.0104042709491181,1.3458461610534298,141.0
11276,"Horschel, Billy",USA,TOUR Championship,1,18958493,5100.0,63373-78232,7000.0,golf.p.8598,20,1,2021-08-30 21:11:16 UTC,PGA,56,28,0.614162040079626,1,0.0584,0.295925,0.012525,0.000575,0.603650077228605,0.0237263857576663,-0.006969494679489371,0.0349401598233102,0.008,0.0817450494661421,0.0897450494661421,0.09533376130626663,0.116158706465535,0.000588242274256834,-0.0214131874335252,0.8404259389025011,251.0
18841,"Hovland, Viktor",NOR,TOUR Championship,1,18958480,8000.0,63373-101713,9600.0,golf.p.22835,29,0,2021-08-30 21:11:16 UTC,PGA,12,15,1.57811734636276,1,0.3996,0.7675,0.183375,0.023125,1.5652226309941102,0.00974204117301203,0.0305117233630408,0.169762256556132,-0.027999999999999997,-0.0022369767471713802,-0.0302369767471714,0.075828553674024,0.120735076036679,-0.0135330425738623,-0.0313734797887927,1.82083022901315,41.0
